critic,fresh,imdb,publication,quote,review_date,rtid,title
Stephen Holden,none,0112342,New York Times,,2003-05-20,11237,The Amazing Panda Adventure
Kevin Thomas,none,0112342,Los Angeles Times,,2002-08-15,11237,The Amazing Panda Adventure
Susan Wloszczyna,rotten,0112342,USA Today,"Pandas are many things. Adorable fuzzballs. Voracious eaters. Vanishing species. But, as actors, they are black and white and dull all over, which The Amazing Panda Adventure demonstrates all too well.",2000-01-01,11237,The Amazing Panda Adventure
Rita Kempley,none,0112342,Washington Post,,2000-01-01,11237,The Amazing Panda Adventure
James Berardinelli,rotten,0112342,ReelViews,,2000-01-01,11237,The Amazing Panda Adventure
Mick LaSalle,none,0112342,San Francisco Chronicle,,2000-01-01,11237,The Amazing Panda Adventure
Todd McCarthy,none,0112461,Variety,,2009-03-26,16445,The Basketball Diaries
Owen Gleiberman,fresh,0112461,Entertainment Weekly,"For those few soul-freezing moments, you get a glimpse of the great actor Leonardo DiCaprio is going to be.",2008-03-24,16445,The Basketball Diaries
Jonathan Rosenbaum,rotten,0112461,Chicago Reader,"Significantly, the movie keeps the hero's reformation offscreen as well as unexplained; it's more interested in shock effects than in candor or elucidation.",2008-03-24,16445,The Basketball Diaries
,rotten,0112461,Time Out,"The angel-faced DiCaprio is a gifted actor, but he lacks the authority and physical presence to keep us with him.",2006-01-26,16445,The Basketball Diaries
Janet Maslin,rotten,0112461,New York Times,"The star shines, but the movie is hard to watch.",2004-08-30,16445,The Basketball Diaries
Peter Travers,rotten,0112461,Rolling Stone,You leave The Basketball Diaries believing that Leonardo DiCaprio can do anything.,2001-05-12,16445,The Basketball Diaries
Kenneth Turan,rotten,0112461,Los Angeles Times,"Although it masquerades as a cautionary tale about the horrors of heroin, this epic of teen-age angst is more accurately seen as a reverential wallow in the gutter of self-absorption.",2001-02-13,16445,The Basketball Diaries
James Berardinelli,fresh,0112461,ReelViews,"Facile escapes are rejected, and the resolution is acceptable because we can believe it. In fact, that's the reason this film works as well as it does: credibility.",2000-01-01,16445,The Basketball Diaries
Hal Hinson,fresh,0112461,Washington Post,DiCaprio goes as far into the hell of drug abuse as any actor ever has -- and comes out a star.,2000-01-01,16445,The Basketball Diaries
Joe Brown,rotten,0112461,Washington Post,"A movie for masochists, an unrelentingly ugly 'Just Say No' propaganda movie, it might have been bankrolled by Nancy Reagan.",2000-01-01,16445,The Basketball Diaries
Edward Guthmann,rotten,0112461,San Francisco Chronicle,"Amazingly, though, even with Kalvert's lack of style and vision, the greatness of DiCaprio's performance is undiminished.",2000-01-01,16445,The Basketball Diaries
Roger Ebert,rotten,0112461,Chicago Sun-Times,Will there ever be a market for a movie about a character who hurries past his drug phase because he can't wait to tell you what he did after he pulled his act together? Probably not.,2000-01-01,16445,The Basketball Diaries
Mike Clark,rotten,0112461,USA Today,"DiCaprio has so much presence that he almost saves the day, but this is a movie that'll make you want to opt for Jim Carrey's The Basketball Diaries.",2000-01-01,16445,The Basketball Diaries
Lisa Schwarzbaum,rotten,0112427,Entertainment Weekly,,2011-09-07,14450,An Awfully Big Adventure
Geoff Andrew,none,0112427,Time Out,,2006-02-09,14450,An Awfully Big Adventure
Janet Maslin,none,0112427,New York Times,,2003-05-20,14450,An Awfully Big Adventure
Edward Guthmann,none,0112427,San Francisco Chronicle,,2002-06-18,14450,An Awfully Big Adventure
Peter Rainer,none,0112427,Los Angeles Times,,2001-02-13,14450,An Awfully Big Adventure
Roger Ebert,rotten,0112427,Chicago Sun-Times,,2000-01-01,14450,An Awfully Big Adventure
Desson Thomson,none,0112427,Washington Post,,2000-01-01,14450,An Awfully Big Adventure
James Berardinelli,rotten,0112427,ReelViews,,2000-01-01,14450,An Awfully Big Adventure
Rita Kempley,none,0112427,Washington Post,,2000-01-01,14450,An Awfully Big Adventure
,rotten,0112427,Entertainment Weekly,,1995-07-21,14450,An Awfully Big Adventure
Robert Koehler,none,0405163,Variety,,2008-06-19,190816055,The Amateurs (The Moguls) (Dirty Movie)
Mark Rahner,rotten,0405163,Seattle Times,It ranges from awkward to excruciating.,2007-12-14,190816055,The Amateurs (The Moguls) (Dirty Movie)
Colin Covert,rotten,0405163,Minneapolis Star Tribune,This sort of thing was done much better by the British years ago in The Full Monty and Calendar Girls. There's really no call for an American rehash.,2007-12-13,190816055,The Amateurs (The Moguls) (Dirty Movie)
Richard Roeper,rotten,0405163,Ebert & Roeper,Do not waste your time with The Amateurs.,2007-12-10,190816055,The Amateurs (The Moguls) (Dirty Movie)
Dennis Lim,rotten,0405163,Los Angeles Times,"There are no laughs to be found in writer-director Michael Traeger's would-be comedy The Amateurs, but there is one big mystery: how actors of this caliber could have been convinced to take part.",2007-12-07,190816055,The Amateurs (The Moguls) (Dirty Movie)
Hazel-Dawn Dumpert,rotten,0405163,L.A. Weekly,"As a writer, Traeger is consternatingly adolescent and glib.",2007-12-06,190816055,The Amateurs (The Moguls) (Dirty Movie)
Peter Travers,fresh,0405163,Rolling Stone,You'll notice that the actors are way overqualified for this nonsense. But the kick they get out of one another is what pulls you in.,2006-09-07,190816055,The Amateurs (The Moguls) (Dirty Movie)
Ben Walters,rotten,0405163,Time Out,"If there's something hypocritically coy about a sex comedy without sex (let alone a porn industry without victims), there's also something refreshing about the characters' unabashed good nature -- at least until the grievously saccharine finale.",2006-05-06,190816055,The Amateurs (The Moguls) (Dirty Movie)
Joe Brown,fresh,0112384,Washington Post,"Even if you know how it all turned out (and you should), this amazing journey is harrowing and exhilarating.",2013-07-30,11116,Apollo 13
Joe Morgenstern,fresh,0112384,Wall Street Journal,The film succeeds brilliantly at organizing great gobs of information into powerful drama.,2013-07-30,11116,Apollo 13
Jay Boyar,fresh,0112384,Orlando Sentinel,Hanks is a terrific choice for the lead because he can appear strong and military without slipping over into Sgt. Rock corniness.,2013-07-30,11116,Apollo 13
Michael Wilmington,fresh,0112384,Chicago Tribune,"Apollo 13, one of the most exciting adventure movies of the year, proves that science history can be just as thrilling as science fiction.",2013-07-30,11116,Apollo 13
Desmond Ryan,fresh,0112384,Philadelphia Inquirer,"Howard is not above pushing buttons of his own and milking the big moments. But they are indeed big moments, and the manipulation is not intrusive. He has made a can-do movie for our can't-do age.",2013-07-30,11116,Apollo 13
Terrence Rafferty,fresh,0112384,New Yorker,"The film, despite its raggedness, is stirring. In the end, this failed mission seems like the most impressive achievement of the entire space program: a triumph not of planning but of inspired improvisation.",2013-07-30,11116,Apollo 13
Jonathan Rosenbaum,fresh,0112384,Chicago Reader,"This meticulous but ultimately rather pedestrian drama gradually won me over as a minor if watchable example of the ""victory through defeat"" brand of military heroism that John Ford specialized in.",2011-06-01,11116,Apollo 13
Kenneth Turan,rotten,0112384,Los Angeles Times,"Self-conscious about its heroism with portrayals that lean toward the glib and the professionally uplifting, the film milks our sympathies too readily to be emotionally convincing.",2010-07-06,11116,Apollo 13
Todd McCarthy,fresh,0112384,Variety,This engrossing account of the nation's most perilous moon shot embodies what many people consider to be old-fashioned American virtues in a virtually pristine state.,2010-07-06,11116,Apollo 13
Rita Kempley,fresh,0112384,Washington Post,"Apollo 13, Ron Howard's soaring salute to space exploration, lifts off with a payload of the right stuff-courage, can-do, grace under pressure and other qualities derided as machismo by some and applauded as old-fashioned values by others.",2010-07-06,11116,Apollo 13
Gene Siskel,fresh,0112384,Chicago Tribune,"Major, rousing, thoroughly professional Hollywood entertainment that will dazzle you with its re-creations of historical events, take you inside the space capsule and the Houston command center, and leave you wondering where our heroes [have gone].",2008-10-18,11116,Apollo 13
Geoff Andrew,fresh,0112384,Time Out,"For a 'space movie', both the special effects and photography are surprisingly pedestrian. Where it scores is in subtly restating traditional notions of male heroism.",2006-02-09,11116,Apollo 13
Janet Maslin,fresh,0112384,New York Times,"Playing the tough, commanding Jim Lovell is a substantial stretch for Mr. Hanks, but as usual his seeming ingenuousness overshadows all else about the role. There's not a false move to anything he does on screen.",2003-05-20,11116,Apollo 13
Ted Fry,fresh,0112384,Seattle Times,"If you thought Tom Hanks was just an ordinary big-screen star, wait until you've seen him eight stories tall.",2002-09-20,11116,Apollo 13
David Hunter,fresh,0112384,Hollywood Reporter,"The special effects and many scenes of weightlessness look as good or better than in the original, while the Oscar-winning sound and James Horner's rousing score make good use of the hefty audio system.",2002-09-20,11116,Apollo 13
Susan Stark,fresh,0112384,Detroit News,"The re-release of Ron Howard's Apollo 13 in the IMAX format proves absolutely that really, really, really good things can come in enormous packages.",2002-09-20,11116,Apollo 13
David Chute,fresh,0112384,L.A. Weekly,"On a purely pictorial level, this is one of the best-looking IMAX movies ever.",2002-09-19,11116,Apollo 13
Jane Sumner,fresh,0112384,Dallas Morning News,"Blowing up some 35mm films to an image 10 times larger could magnify their plot faults and performance shortcomings. But Apollo 13, with its taut cast, script and direction, profits from the process.",2002-09-19,11116,Apollo 13
Richard Roeper,fresh,0112384,Ebert & Roeper,It's a great American adventure and a wonderful film to bring to IMAX.,2002-09-03,11116,Apollo 13
Peter Travers,fresh,0112384,Rolling Stone,It's easily Howard's best film.,2001-05-12,11116,Apollo 13
Owen Gleiberman,fresh,0114287,Entertainment Weekly,,2011-09-07,13275,Rob Roy
Todd McCarthy,rotten,0114287,Variety,"Rob Roy has its diversions, but they are unfortunately outweighed by some heavy baggage that contains not enough of substance.",2009-03-26,13275,Rob Roy
Geoff Andrew,fresh,0114287,Time Out,"Neeson makes a less dashing action hero than did Day-Lewis, but he brings enough gravitas to his role to endow his love for his wife Mary (Lange) and his conflict with Cunningham with real emotional punch.",2006-02-09,13275,Rob Roy
Janet Maslin,fresh,0114287,New York Times,"Rob Roy is best watched for local color and for its hearty, hot-blooded stars.",2003-05-20,13275,Rob Roy
Peter Stack,rotten,0114287,San Francisco Chronicle,"With such a cast and the setting of the Highlands, plus a story with a gold mine of dramatic potential, it is a puzzle why Rob Roy is so uninvolving.",2002-06-18,13275,Rob Roy
Peter Travers,rotten,0114287,Rolling Stone,You always know where it's going even as it meanders for two and a half hours getting there.,2001-05-12,13275,Rob Roy
Kenneth Turan,rotten,0114287,Los Angeles Times,No more than moderately satisfying.,2001-02-13,13275,Rob Roy
Rita Kempley,rotten,0114287,Washington Post,"Director Michael Caton-Jones and Sharp, both Scotsmen, are so caught up in the legend that they don't seem to notice that RR is about as heroic as a hatful of haggis.",2000-01-01,13275,Rob Roy
Roger Ebert,fresh,0114287,Chicago Sun-Times,"Strange. I thought I had seen enough sword fights in movies to last a lifetime, but I was wrong.",2000-01-01,13275,Rob Roy
James Berardinelli,fresh,0114287,ReelViews,"As embodied by Liam Neeson, Rob Roy is a tremendous protagonist -- a naive man whose belief in honor and whose love for a woman, family, and clan make him a figure to cheer for.",2000-01-01,13275,Rob Roy
Desson Thomson,fresh,0114287,Washington Post,"If you're in a forgiving, campy frame of mind (which I must have been the night I saw this), there's cheap pleasure to be gained from the experience.",2000-01-01,13275,Rob Roy
,fresh,0114287,Entertainment Weekly,,1995-04-07,13275,Rob Roy
Nigel Floyd,fresh,0430912,Time Out,"As a stand-alone film, this doesn't work; but viewed through the prism of the original, it offers some twisted, self-conscious pleasures.",2006-06-24,133759604,Basic Instinct 2
David Edelstein,rotten,0430912,New York Magazine,Stupefyingly lackluster.,2006-04-21,133759604,Basic Instinct 2
Jonathan Rosenbaum,rotten,0430912,Chicago Reader,"Like many sequels this is actually a remake, and it suffers from the law of diminishing returns.",2006-04-21,133759604,Basic Instinct 2
Dennis Lim,rotten,0430912,Village Voice,"The plot, already mired in nonsensical backstory, collapses with the late-inning introduction of a tired metafictional device (not to mention a wildly lunging Usual Suspects twist).",2006-04-04,133759604,Basic Instinct 2
Richard Roeper,rotten,0430912,Ebert & Roeper,"Basic Instinct 2 has a stylish look and a few sexy moments, but the plot goes from confusing to implausible to absolutely ludicrous in the final sequence.",2006-04-03,133759604,Basic Instinct 2
Peter Howell,rotten,0430912,Toronto Star,Even the ice pick looks like it really doesn't want to be there.,2006-03-31,133759604,Basic Instinct 2
Claudia Puig,rotten,0430912,USA Today,"The 1992 phenomenon was creepy, tense and sexually charged in a bold yet tawdry way. This sequel lacks even a shred of those elements.",2006-03-31,133759604,Basic Instinct 2
Stephanie Zacharek,rotten,0430912,Salon.com,"If you're trying to reinvigorate the art of the stylish thriller, the movie you come up with needs to be stylish and it needs to be thrilling. Basic Instinct 2, written by Leora Barish and Henry Bean and directed by Michael Caton-Jones, is neither.",2006-03-31,133759604,Basic Instinct 2
Moira MacDonald,rotten,0430912,Seattle Times,"Despite all the heavy breathing and mood lighting, Basic Instinct 2 is so dull that you might find yourself easily distracted by side issues.",2006-03-31,133759604,Basic Instinct 2
Ruthe Stein,rotten,0430912,San Francisco Chronicle,"What Basic Instinct 2 is missing, besides any of the trashy good fun of the original, is a subtitle. Here's a suggestion: A Girl's Guide to Dressing for Her Shrink.",2006-03-31,133759604,Basic Instinct 2
James Berardinelli,rotten,0430912,ReelViews,"This film is unable to involve, entertain, or titillate. Basically, it stinks.",2006-03-31,133759604,Basic Instinct 2
Steven Rea,rotten,0430912,Philadelphia Inquirer,"Stone's purring, snarling, bedroom kink is embarrassing.",2006-03-31,133759604,Basic Instinct 2
Roger Moore,rotten,0430912,Orlando Sentinel,But the movie is a baroque little mystery of so little mystery or consequence that you're literally sitting there waiting for the next full body cavity search.,2006-03-31,133759604,Basic Instinct 2
Kyle Smith,rotten,0430912,New York Post,"At this point, there are inflatable toys that are livelier than Stone, but how can you tell the difference? Basic Instinct 2 is not an erotic thriller. It's taxidermy.",2006-03-31,133759604,Basic Instinct 2
Jack Mathews,rotten,0430912,New York Daily News,"As with the first film, BI2 abounds with red herrings and misdirection, and comes up with an equally ambiguous Did she or didn't she? ending. But there are problems here beyond its staleness.",2006-03-31,133759604,Basic Instinct 2
Rene Rodriguez,rotten,0430912,Miami Herald,"Few expected Basic Instinct 2 to be very good, but no one expected it to be this boring.",2006-03-31,133759604,Basic Instinct 2
Bruce Westbrook,rotten,0430912,Houston Chronicle,"Using the same basic plot as 1992's original, BI2 feels less like a sequel than a remake whose shelf life has expired.",2006-03-31,133759604,Basic Instinct 2
Kirk Honeycutt,rotten,0430912,Hollywood Reporter,The only real intrigue comes in the film's risky flirtation with high camp.,2006-03-31,133759604,Basic Instinct 2
Rick Groen,rotten,0430912,Globe and Mail,"The original movie lacked sense, but it did possess that sizzle. This one has neither.",2006-03-31,133759604,Basic Instinct 2
Tom Long,rotten,0430912,Detroit News,"In the end, this is a movie that makes the original Basic Instinct look good. And in a way, that's quite a feat.",2006-03-31,133759604,Basic Instinct 2
Owen Gleiberman,fresh,0112462,Entertainment Weekly,"By now, Jim Carrey is doing sarcastic takes on his own sarcasm, and there's something funny and a little scary in that.",2010-07-06,11174,Batman Forever
Jonathan Rosenbaum,rotten,0112462,Chicago Reader,"Joel Schumacher submits to the Wagnerian bombast with an overly busy surface, and the script by Lee and Janet Scott Batchler and Akiva Goldsman basically runs through the formula as if it's a checklist.",2007-04-16,11174,Batman Forever
Brian Lowry,rotten,0112462,Variety,"As for Kilmer, he gamely steps into the dual Batman/Wayne role but can't get much traction, finding, as Michael Keaton had, that beyond a stern jaw there's not much to be done with it, since the suit does most of the work.",2007-04-16,11174,Batman Forever
,rotten,0112462,Time Out,The second sequel to Tim Burton's 1989 blockbuster makes its predecessors appear models of subtlety and coherence.,2006-01-26,11174,Batman Forever
Janet Maslin,fresh,0112462,New York Times,"The film recovers from that initial confusion to get stronger as it goes along, and to shape up as a free-form playground for its various masquerading stars.",2003-05-20,11174,Batman Forever
Peter Travers,fresh,0112462,Rolling Stone,Batman Forever is in and out but wins in the end by staying true to its unbridled comic spirit.,2001-05-12,11174,Batman Forever
Kenneth Turan,fresh,0112462,Los Angeles Times,This loud and boisterous comic book confidential is serviceable enough to satisfy.,2001-02-13,11174,Batman Forever
James Berardinelli,fresh,0112462,ReelViews,"It's lighter, brighter, funnier, faster-paced, and a whole lot more colorful than before.",2000-01-01,11174,Batman Forever
Roger Ebert,fresh,0112462,Chicago Sun-Times,It's great bubble gum for the eyes.,2000-01-01,11174,Batman Forever
Desson Thomson,fresh,0112462,Washington Post,"Carrey lights up an otherwise over-scripted, over-frenetic potboiler.",2000-01-01,11174,Batman Forever
Sean Means,rotten,0112462,Film.com,"Minds in neutral, zoning out on the eye candy.",2000-01-01,11174,Batman Forever
Gillian Gaar,fresh,0112462,Film.com,"The highs? Jim Carrey's Riddler, hands down.",2000-01-01,11174,Batman Forever
Mick LaSalle,fresh,0112462,San Francisco Chronicle,A grand- scale effort that's more awe-inspiring than completely successful as entertainment.,2000-01-01,11174,Batman Forever
Tom Keogh,rotten,0112462,Film.com,"Kilmer's good, not surprisingly, but he doesn't get to do a lot.",2000-01-01,11174,Batman Forever
Susan Wloszczyna,fresh,0112462,USA Today,"Bigger, battier and better.",2000-01-01,11174,Batman Forever
Owen Gleiberman,fresh,0061395,Entertainment Weekly,,2011-09-07,770689374,Belle de Jour
,none,0061395,Variety,,2009-03-26,770689374,Belle de Jour
Philip Wuntch,fresh,0061395,Dallas Morning News,"A delicacy, a passionate and compassionate study of erotica.",2006-08-03,770689374,Belle de Jour
Roger Ebert,fresh,0061395,Chicago Sun-Times,"It is possibly the best-known erotic film of modern times, perhaps the best.",2006-07-01,770689374,Belle de Jour
Andrew Sarris,fresh,0061395,New York Observer,"Of all the supposedly challenging attractions playing locally in our supposedly more enlightened era, the most compellingly erotic and entertaining spectacle is still provided by Belle de Jour",2006-04-19,770689374,Belle de Jour
Michael Atkinson,fresh,0061395,Village Voice,This silly little masterpiece regards Deneuve as the goddess of light she really was -- a figment of our collective appetite for the unreal.,2006-04-11,770689374,Belle de Jour
,none,0061395,Time Out,,2006-01-26,770689374,Belle de Jour
Renata Adler,fresh,0061395,New York Times,Every detail has been so carefully thought out that seeing it again is like seeing it in another key.,2003-05-20,770689374,Belle de Jour
Edward Guthmann,fresh,0061395,San Francisco Chronicle,"A wise, enormously enjoyable film about the power of fantasy -- a toast to the importance of dreams.",2002-06-18,770689374,Belle de Jour
James Berardinelli,fresh,0061395,ReelViews,Much of the film works because of the capable acting of Deneuve.,2000-01-01,770689374,Belle de Jour
Rita Kempley,rotten,0061395,Washington Post,"The director may have been ahead of his time, but he displays no more compassion for his characters than a psycho killer shows for his victims.",2000-01-01,770689374,Belle de Jour
,fresh,0061395,Entertainment Weekly,,1968-04-10,770689374,Belle de Jour
Owen Gleiberman,rotten,0112495,Entertainment Weekly,,2011-09-07,16915,Beyond Rangoon
Todd McCarthy,none,0112495,Variety,,2009-03-26,16915,Beyond Rangoon
,none,0112495,Time Out,,2006-06-24,16915,Beyond Rangoon
Kenneth Turan,rotten,0112495,Los Angeles Times,"In attempting to make its politics palatable as entertainment, the film has grafted them onto a boatload of Hollywood implausibilities whose excesses cripple believability.",2002-08-15,16915,Beyond Rangoon
Rick Groen,rotten,0112495,Globe and Mail,"As an exercise in art, or even polemics, Beyond Rangoon is beyond redemption, but still works its occasional magic with extraordinary flair.",2002-04-12,16915,Beyond Rangoon
Peter Travers,rotten,0112495,Rolling Stone,Yet one more film -- that defines Third World political unrest through its effect on a white liberal.,2001-05-12,16915,Beyond Rangoon
Edward Guthmann,rotten,0112495,San Francisco Chronicle,"Boorman's metaphysical musings might work if he integrated them more fully into his film, instead of making them secondary to action sequences.",2000-01-01,16915,Beyond Rangoon
Caryn James,fresh,0112495,New York Times,"A rare film, one that is intelligent, emotional and exciting.",2000-01-01,16915,Beyond Rangoon
Hal Hinson,rotten,0112495,Washington Post,"An odd movie, brilliant in places, but frustrating all the same.",2000-01-01,16915,Beyond Rangoon
Roger Ebert,fresh,0112495,Chicago Sun-Times,"Because the film is well acted and directed, and the Malaysian locations are exotic and seductive, I got involved even though the story ... was so clearly concocted.",2000-01-01,16915,Beyond Rangoon
James Berardinelli,fresh,0112495,ReelViews,"Besides being an intelligent and gripping thriller with a solid grounding in real, recent historical events, Beyond Rangoon also gives movie-goers a rare opportunity to watch a female hero.",2000-01-01,16915,Beyond Rangoon
,rotten,0112495,Entertainment Weekly,,1995-08-25,16915,Beyond Rangoon
Owen Gleiberman,rotten,0112541,Entertainment Weekly,,2011-09-07,14891,Blue in the Face
David Stratton,none,0112541,Variety,,2009-03-26,14891,Blue in the Face
,none,0112541,Time Out,,2006-06-24,14891,Blue in the Face
Janet Maslin,none,0112541,New York Times,,2003-05-20,14891,Blue in the Face
,none,0112541,Globe and Mail,,2002-04-12,14891,Blue in the Face
Peter Travers,none,0112541,Rolling Stone,,2001-05-12,14891,Blue in the Face
Kevin Thomas,none,0112541,Los Angeles Times,,2001-02-13,14891,Blue in the Face
Roger Ebert,rotten,0112541,Chicago Sun-Times,,2000-01-01,14891,Blue in the Face
Hal Hinson,none,0112541,Washington Post,,2000-01-01,14891,Blue in the Face
Susan Stark,rotten,0112541,Detroit News,,2000-01-01,14891,Blue in the Face
James Berardinelli,fresh,0112541,ReelViews,,2000-01-01,14891,Blue in the Face
Peter Stack,none,0112541,San Francisco Chronicle,,2000-01-01,14891,Blue in the Face
Leonard Klady,none,0109370,Variety,,2008-10-18,11304,Canadian Bacon
,none,0109370,Time Out,,2006-06-24,11304,Canadian Bacon
Stephen Holden,none,0109370,New York Times,,2003-05-20,11304,Canadian Bacon
William F. Powers,none,0109370,Washington Post,,2000-01-01,11304,Canadian Bacon
Susan Stark,rotten,0109370,Detroit News,,2000-01-01,11304,Canadian Bacon
Peter Stack,none,0109370,San Francisco Chronicle,,2000-01-01,11304,Canadian Bacon
Mike Clark,rotten,0109370,USA Today,The best thing you can say about this scattershot political satire is that the late John Candy's next-to-last picture is relatively funnier and less depressing than his valedictory Wagons East.,2000-01-01,11304,Canadian Bacon
Owen Gleiberman,rotten,0112642,Entertainment Weekly,A fairy tale with the soul of a rerun.,2010-07-06,76202668,Casper
Jonathan Rosenbaum,rotten,0112642,Chicago Reader,It's not clear why Steven Spielberg's Amblin decided to make a live-action entertainment starring the least interesting and most saccharine of all 50s cartoon characters.,2007-04-18,76202668,Casper
Brian Lowry,rotten,0112642,Variety,"Once the audience has become inured to the wide-eyed protagonist and impressive digitized effects, there's little sense of wonder or awe to be found.",2007-04-18,76202668,Casper
Wally Hammond,fresh,0112642,Time Out,"The set design, however, merely disguises what is in fact an intimate and likeable picture.",2006-06-24,76202668,Casper
Caryn James,fresh,0112642,New York Times,"Casper's movie is not the cleverest one around, but its hero may be the most lovable.",2003-05-20,76202668,Casper
Mick LaSalle,fresh,0112642,San Francisco Chronicle,"This doesn't usually happen to me, but 15 minutes before the end of Casper I suddenly realized that if I didn't take a deep breath, I was going to start sobbing.",2002-06-18,76202668,Casper
Roger Ebert,fresh,0112642,Chicago Sun-Times,"As a technical achievement, it's impressive, and entertaining. And there is even a little winsome philosophy.",2000-01-01,76202668,Casper
Rita Kempley,rotten,0112642,Washington Post,"As expected, it features extra-spectral effects, slews of celebrity guest shots and splendidly decorated sets. For all of that, though, the film is duller than a dead man's eyes.",2000-01-01,76202668,Casper
James Berardinelli,rotten,0112642,ReelViews,"Without the talent of Ricci, Casper would have been a truly barren motion picture. As it is, it's still not very good.",2000-01-01,76202668,Casper
Desson Thomson,rotten,0112642,Washington Post,"The horror, the horror.",2000-01-01,76202668,Casper
Susan Wloszczyna,rotten,0112642,USA Today,"Casper moves like a dirge, especially when it sinks into a meditation on death a la Ghost. As specter spectacles go, Casper is a bit of a ghost bust.",2000-01-01,76202668,Casper
Owen Gleiberman,fresh,0112688,Entertainment Weekly,,2011-09-07,14040,Clockers
Richard Schickel,fresh,0112688,TIME Magazine,"There is a force and focus in Lee's work, an absence of intellectual posturing and a willingness to let his material speak for itself that he has not achieved before.",2008-09-22,14040,Clockers
Jonathan Rosenbaum,rotten,0112688,Chicago Reader,"The performances are strong, but the spectator often feels adrift in an overly busy intrigue.",2008-09-22,14040,Clockers
Todd McCarthy,rotten,0112688,Variety,"A study of the urban dope-dealing culture and its toll on everyone who comes in contact with it, the picture has an insider's feel that is constantly undercut by the filmmaker's impulse to editorialize.",2008-06-09,14040,Clockers
,fresh,0112688,Time Out,"The result is a more sober, mournful and meditative expressionism than you'd expect. That's not to say the film isn't suspenseful, but the director's distaste for the inner city's gun culture is clear to see. Superbly acted.",2006-02-09,14040,Clockers
Kenneth Turan,fresh,0112688,Los Angeles Times,Helping make these points is as strong a cast as Lee has yet worked with.,2002-08-15,14040,Clockers
Edward Guthmann,fresh,0112688,San Francisco Chronicle,Has the strengths of Spike Lee's best work without the preachiness and gimmicky camera moves of his weakest.,2002-06-18,14040,Clockers
Peter Travers,fresh,0112688,Rolling Stone,Clockers thunders home with the bruising urgency of a story that needs to be told.,2001-05-12,14040,Clockers
Kevin McManus,fresh,0112688,Washington Post,"A real, wicked thrill.",2000-01-01,14040,Clockers
James Berardinelli,fresh,0112688,ReelViews,"Clockers uses unexpected narrative turns to accentuate the themes of lost innocence and uncultivated potential, and affirms that tragic melodrama is not a prerequisite for emotional impact.",2000-01-01,14040,Clockers
Mike Clark,fresh,0112688,USA Today,"Lee captures the despair, self-delusion, occasional terror and frequent humor of a praised and popular novel, aided by the potent acting his direction virtually guarantees.",2000-01-01,14040,Clockers
Hal Hinson,rotten,0112688,Washington Post,"What we get mostly in the film is a sense of Lee flailing, struggling to get a handle on his material.",2000-01-01,14040,Clockers
Roger Ebert,fresh,0112688,Chicago Sun-Times,"Although Clockers is, as I suggested, a murder mystery, in solving its murder, it doesn't even begin to find a solution to the system that led to the murder. That is the point.",2000-01-01,14040,Clockers
,fresh,0112688,Entertainment Weekly,,1995-09-13,14040,Clockers
Lisa Schwarzbaum,rotten,0112715,Entertainment Weekly,,2011-09-07,11009,Congo
Brian Lowry,rotten,0112715,Variety,Feels as if the picture were edited to leave the action sequences in while removing any connecting material that might have helped them make sense.,2008-06-17,11009,Congo
Stephen Garrett,rotten,0112715,Time Out,"Dreadfully muddled, but mildly diverting.",2006-02-09,11009,Congo
Janet Maslin,rotten,0112715,New York Times,"This glib, overheated film about vicious primates delivers little suspense...",2003-05-20,11009,Congo
Kenneth Turan,rotten,0112715,Los Angeles Times,The entire tone of the book has been transformed from tension to tongue-in-cheek with dismal results.,2001-02-13,11009,Congo
Lucy Mohl,rotten,0112715,Film.com,"A movie that appears to have been designed first as a future theme park, and then as a major motion-picture.",2000-01-01,11009,Congo
Hal Hinson,rotten,0112715,Washington Post,"In every frame, it aspires to be a theme park.",2000-01-01,11009,Congo
James Berardinelli,rotten,0112715,ReelViews,This is easily the worst filmed version of anything penned by the prolific author.,2000-01-01,11009,Congo
Mick LaSalle,rotten,0112715,San Francisco Chronicle,"As you stand there with your $7, ask yourself, 'Do I really want to see a rubber gorilla smoke a cigar?' If necessary, ask yourself twice.",2000-01-01,11009,Congo
Desson Thomson,rotten,0112715,Washington Post,The least interesting adventure ever filmed.,2000-01-01,11009,Congo
,rotten,0112715,USA Today,Marshall can't decide whether he's making a thriller or a laff-it-up lark.,2000-01-01,11009,Congo
Roger Ebert,fresh,0112715,Chicago Sun-Times,"A splendid example of a genre no longer much in fashion, the jungle adventure story.",2000-01-01,11009,Congo
Greg Burkman,rotten,0112715,Film.com,It's the first bomb of another endless summer of commercial Hollywood crap.,2000-01-01,11009,Congo
,rotten,0112715,Entertainment Weekly,,1995-06-09,11009,Congo
Todd McCarthy,none,0112740,Variety,,2012-02-23,13167,Crimson Tide
Owen Gleiberman,fresh,0112740,Entertainment Weekly,,2011-09-07,13167,Crimson Tide
Variety Staff,fresh,0112740,Variety,This is a boy's movie all the way.,2009-03-26,13167,Crimson Tide
,fresh,0112740,Time Out,"The screenplay may be credited to Michael Schiffer, but the punchy dialogue has Quentin Tarantino written all over it. The cast has a ball.",2006-06-24,13167,Crimson Tide
Jonathan Foreman,fresh,0112740,New York Post,,2004-01-17,13167,Crimson Tide
